brand,caliber,part_number,stock_quantity,pricing_status,pricing_confidence,recommended_price_eur,price_lower_bound_eur,price_upper_bound_eur,sell_time_display,median_days_to_sell,sell_time_lower_days,sell_time_upper_days,turnover_confidence,turnover_method,evidence_basis,active_evidence_count,historical_evidence_count,total_unique_evidence_count,historical_value_h,current_value_c,demand_index_d,scarcity_score_s,price_trend_p,demand_adjustment_eur,germany_price_eur,us_price_eur,virtual_price_eur,no_recommendation_reason,recommendation_reason,turnover_reason,active_pricing_caveat,canonical_inventory_id,inventory_uid
Rolex,7,330,2,PRICED,LOW,91.82,55.09,128.55,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,1,0,1,,89.44,0.293,0.873,0.0,-0.96,96.82,132.05,91.82,,"Based on active asking prices only (n=1 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity scarce (S=0.87).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_7_330,iuid_d0bb9b9d0a904b8e
Rolex,23,12200,3,PRICED,MEDIUM,19.88,11.93,27.83,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,7,0,7,,20.8,0.625,0.0,0.0,0.12,24.88,50.74,19.88,,"Based on active asking prices only (n=19 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.00).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_23_12200,iuid_655c7bae3178449a
Rolex,23,40170,1,PRICED,LOW,18.03,10.82,25.24,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,4,0,4,,18.38,0.625,0.25,0.0,0.11,23.03,48.64,18.03,,"Based on active asking prices only (n=12 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.25).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_23_40170,iuid_2bfa3a15b70d4f26
Rolex,23,44200,2,PRICED,LOW,25.45,15.27,35.63,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,3,0,3,,25.3,0.625,0.5,0.0,0.16,30.45,57.03,25.45,,"Based on active asking prices only (n=8 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity balanced (S=0.50).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_23_44200,iuid_caf7ad8201df495e
Rolex,23,9280,4,PRICED,LOW,10.72,6.43,15.01,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,7,0,7,,10.4,0.625,0.75,0.0,0.07,15.72,40.38,10.72,,"Based on active asking prices only (n=7 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity scarce (S=0.75).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_23_9280,iuid_354d691fbc5f4f45
Rolex,24,502,1,PRICED,LOW,991.84,595.1,1388.58,0-30 days,6.6,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,4,0,4,,1045.27,0.2,0.1333,0.0,-15.1,996.84,1149.47,991.84,,"Based on active asking prices only (n=4 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.13).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_24_502,iuid_a259d355c1e04f9d
Rolex,24,530-0,16,PRICED,HIGH,108.47,92.2,124.74,0-30 days,3.1,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,94,22,116,116.8,102.69,0.9333,0.6,-0.1,2.3,113.47,150.87,108.47,,"Based on historical sold evidence (n=140 sale(s)). Price trend down (-10.0%), scarcity balanced (S=0.60).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_530_0,iuid_e5c7305f550045eb
Rolex,24,531-0,23,PRICED,HIGH,90.04,76.53,103.55,0-30 days,7.6,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,64,11,75,101.92,102.69,0.6,0.2667,-0.1,0.45,95.04,130.04,90.04,,"Based on historical sold evidence (n=60 sale(s)). Price trend down (-10.0%), scarcity oversupplied (S=0.27).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_531_0,iuid_55441e32f92d4370
Rolex,24,5330,7,PRICED,MEDIUM,67.22,57.14,77.3,0-30 days,5.8,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,70,7,77,61.53,55.3,0.7,0.3333,0.1,0.67,72.22,104.25,67.22,,"Based on historical sold evidence (n=45 sale(s)). Price trend up (+10.0%), scarcity balanced (S=0.33).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_5330,iuid_750dc3506b404652
Rolex,24,6020,10,PRICED,MEDIUM,50.24,42.7,57.78,0-30 days,4.4,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,63,9,72,43.97,24.23,0.8,0.7333,0.1,0.74,55.24,85.06,50.24,,"Based on historical sold evidence (n=50 sale(s)). Price trend up (+10.0%), scarcity scarce (S=0.73).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_6020,iuid_27fcf185e2ff45c7
Rolex,24,7000,5,PRICED,LOW,162.25,137.91,186.59,0-30 days,8.0,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,14,7,21,171.08,203.5,0.7,0.9333,-0.1,1.61,167.25,211.67,162.25,,"Based on historical sold evidence (n=40 sale(s)). Price trend down (-10.0%), scarcity scarce (S=0.93).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_7000,iuid_5411550733084904
